id,date,category,cases,deaths,intensive
670,2020-09-22,18-39,3709,4,1
671,2020-09-22,40-64,3045,48,18
672,2020-09-22,65+,993,170,37
673,2020-09-23,0-17,560,0,0
674,2020-09-23,18-39,3797,4,1
675,2020-09-23,40-64,3118,49,17
676,2020-09-23,65+,1011,173,35
677,2020-09-24,0-17,577,0,0
678,2020-09-24,18-39,3868,4,1
679,2020-09-24,40-64,3183,51,15
680,2020-09-24,65+,1032,177,31
681,2020-09-25,0-17,586,0,0
682,2020-09-25,18-39,3943,4,1
683,2020-09-25,40-64,3229,51,16
684,2020-09-25,65+,1048,177,31
685,2020-09-26,0-17,596,0,0
686,2020-09-26,18-39,4032,4,2
687,2020-09-26,40-64,3302,53,17
688,2020-09-26,65+,1064,180,33
689,2020-09-27,0-17,606,0,0
690,2020-09-27,18-39,4087,4,2
691,2020-09-27,40-64,3351,54,16
692,2020-09-27,65+,1072,180,34
693,2020-09-28,0-17,621,0,0
694,2020-09-28,18-39,4148,4,2
695,2020-09-28,40-64,3413,54,18
696,2020-09-28,65+,1081,183,36
697,2020-09-29,0-17,640,0,0
698,2020-09-29,18-39,4252,4,2
699,2020-09-29,40-64,3530,54,19
700,2020-09-29,65+,1111,187,39
701,2020-09-30,0-17,660,0,0
702,2020-09-30,18-39,4307,4,2
703,2020-09-30,40-64,3580,56,18
704,2020-09-30,65+,1125,187,36
705,2020-10-01,0-17,683,0,0
706,2020-10-01,18-39,4392,4,2
707,2020-10-01,40-64,3657,56,22
708,2020-10-01,65+,1169,189,37
709,2020-10-02,0-17,696,0,0
710,2020-10-02,18-39,4460,4,2
711,2020-10-02,40-64,3733,57,21
712,2020-10-02,65+,1191,190,36
713,2020-10-03,0-17,706,0,0
714,2020-10-03,18-39,4509,4,0
715,2020-10-03,40-64,3798,57,22
716,2020-10-03,65+,1211,192,33
717,2020-10-04,0-17,709,0,0
718,2020-10-04,18-39,4555,4,0
719,2020-10-04,40-64,3841,57,24
720,2020-10-04,65+,1227,195,33
725,2020-04-12,0-17,31,0,0
726,2020-04-12,18-39,340,1,0
727,2020-04-12,40-64,514,22,22
728,2020-04-12,65+,256,44,39
729,2020-04-19,0-17,34,0,0
730,2020-04-19,18-39,369,1,0
731,2020-04-19,40-64,540,25,18
732,2020-04-19,65+,270,55,34
733,2020-06-03,0-17,78,0,0
734,2020-06-03,18-39,456,3,0
